model,feature,importance,absolute_value
gradient_boosting,primary_language_eng,0.46273032206585146,0.46273032206585146
gradient_boosting,log_edition_count,0.0912439304836571,0.0912439304836571
gradient_boosting,ol_edition_count,0.07564104419534946,0.07564104419534946
gradient_boosting,publisher_grouped_Random House,0.05010284258949956,0.05010284258949956
gradient_boosting,publication_gap,0.04793959188020448,0.04793959188020448
gradient_boosting,publisher_grouped_Simon and Schuster,0.044102831679041596,0.044102831679041596
gradient_boosting,author_grouped_Other,0.036118411040014134,0.036118411040014134
gradient_boosting,publisher_grouped_Penguin Group,0.03299626561420551,0.03299626561420551
gradient_boosting,ol_ebook_access_no_ebook,0.019540657110688208,0.019540657110688208
gradient_boosting,num_ol_subjects,0.01598158109320312,0.01598158109320312
gradient_boosting,primary_language_unknown,0.014493371031051472,0.014493371031051472
gradient_boosting,has_page_count,0.011340787767250764,0.011340787767250764
gradient_boosting,"publisher_grouped_Little, Brown",0.010810642902344693,0.010810642902344693
gradient_boosting,publisher_grouped_Bloom Books,0.007497727936925449,0.007497727936925449
gradient_boosting,publisher_grouped_Kensington Publishing Corp,0.007103397662934151,0.007103397662934151
gradient_boosting,has_ol_languages,0.0062932814994769055,0.0062932814994769055
gradient_boosting,num_ol_languages,0.006066911836260073,0.006066911836260073
gradient_boosting,publisher_grouped_Grand Central,0.005436723609779475,0.005436723609779475
gradient_boosting,subject_education,0.004156981096931092,0.004156981096931092
gradient_boosting,first_publish_age,0.0036505337315999196,0.0036505337315999196
gradient_boosting,publisher_grouped_Penguin,0.0036230750275597673,0.0036230750275597673
gradient_boosting,book_age,0.0033786750075959406,0.0033786750075959406
gradient_boosting,publish_year,0.0030279748915848993,0.0030279748915848993
gradient_boosting,ol_first_publish_year,0.0025460669828821446,0.0025460669828821446
gradient_boosting,has_ol_subjects,0.0022542570989032692,0.0022542570989032692
gradient_boosting,subject_american_literature,0.0021338599376011843,0.0021338599376011843
gradient_boosting,subject_fiction,0.0020748930143724476,0.0020748930143724476
gradient_boosting,log_page_count,0.002058164005636553,0.002058164005636553
gradient_boosting,primary_language_jpn,0.001882839575334845,0.001882839575334845
gradient_boosting,publisher_grouped_Graphix,0.0017662290622106826,0.0017662290622106826
gradient_boosting,publisher_grouped_Taylor & Francis Group,0.0017594232367137196,0.0017594232367137196
gradient_boosting,page_count,0.001704447433813719,0.001704447433813719
gradient_boosting,publisher_grouped_Scholastic Press,0.0015940927317703484,0.0015940927317703484
gradient_boosting,author_grouped_Alice Walstead,0.0015522501536597653,0.0015522501536597653
gradient_boosting,author_grouped_Charlie Kirk,0.0014415810038411173,0.0014415810038411173
gradient_boosting,author_grouped_IEEE Staff,0.001294631165056465,0.001294631165056465
gradient_boosting,publisher_grouped_Harlequin Treasury-Love Inspired 90s,0.0011167451305679474,0.0011167451305679474
gradient_boosting,publisher_grouped_Other,0.0009701653062019319,0.0009701653062019319
gradient_boosting,subject_children_s_fiction,0.0009077993137545976,0.0009077993137545976
gradient_boosting,subject_adult,0.0008897937705787612,0.0008897937705787612
gradient_boosting,primary_language_ita,0.0008477196691157876,0.0008477196691157876
gradient_boosting,publisher_grouped_Cambridge University Press,0.0008433361120614099,0.0008433361120614099
gradient_boosting,author_grouped_Nora Roberts,0.000817426219160576,0.000817426219160576
gradient_boosting,publisher_grouped_Grand Central Publishing,0.0008006759332262212,0.0008006759332262212
gradient_boosting,publisher_grouped_Independently Published,0.0007590217550088209,0.0007590217550088209
gradient_boosting,publisher_grouped_VIZ Media LLC,0.0006418257841298126,0.0006418257841298126
gradient_boosting,subject_poetry_poetic_works_by_one_author,0.0004309657577724992,0.0004309657577724992
gradient_boosting,primary_language_nah,0.000412535798374481,0.000412535798374481
gradient_boosting,publisher_grouped_Entangled: Red Tower Books,0.0004025178112917919,0.0004025178112917919
gradient_boosting,"publisher_grouped_Creative Media Partners, LLC",0.0003901610325762453,0.0003901610325762453
gradient_boosting,publisher_grouped_Springer,0.0003352919937528423,0.0003352919937528423
gradient_boosting,subject_business,0.00025365357025324936,0.00025365357025324936
gradient_boosting,author_grouped_Suzanne Lang,0.00024707479313582797,0.00024707479313582797
gradient_boosting,ol_ebook_access_printdisabled,0.00017889981270882043,0.00017889981270882043
gradient_boosting,ol_ebook_access_borrowable,0.0001711350442076851,0.0001711350442076851
gradient_boosting,publisher_grouped_St. Martin's Press,0.00016537165432624655,0.00016537165432624655
gradient_boosting,subject_biography,0.00014536296162004039,0.00014536296162004039
